trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-170.01435568461272,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-130.0196763370322,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-95.60166953542583,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,2,-73.66523713317365,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-133.7649531833718,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-93.42263155141512,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-161.24354031421768,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,18,3.950171770206512,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,5,-6.9785245570013705,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-40.937189668623155,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-0.34522003662989087,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-85.24913918484309,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-9.471612115711725,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,22,12.180223719570186,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,16,-4.488379265242351,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,9.583854130526284,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,14,8.31867252439311,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,16,9.49162946282152,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,15,13.094019186177615,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,8.548103933504152,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,7,25.25791697825189,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,2,1.6929152974194621,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-27.062328265203945,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,7,36.57772278908202,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,6.158861042779781,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,29.56937963753171,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,37.40272829237984,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,16.09605083377873,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",35,0,46.34695252901279,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,37.47790104662156,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
