trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9999500004166653}",20,0,-159.05448895881705,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.4, 'e': 0.9998000066665778}",20,0,-71.03985726401116,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.9995500337489875}",20,0,-157.72591026892815,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.4, 'e': 0.9992001066609779}",25,0,-81.82026516715369,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.9987502603949663}",25,0,-137.72505715478687,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.9982005399352042}",20,0,-71.60141058684441,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.4, 'e': 0.9975510002532796}",35,16,-64.17521137451278,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.4, 'e': 0.9968017063026194}",20,0,-38.71050552869779,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.4, 'e': 0.9959527330119943}",20,0,-65.57387713676768,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.4, 'e': 0.9950041652780257}",25,7,-133.6152321773157,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 1}",1
11,False,"{'a': 0.4, 'e': 0.9939560979566968}",20,0,-112.00095313681369,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.4, 'e': 0.9928086358538663}",20,0,-90.93851035197612,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.9915618937147881}",20,0,-74.66848328378224,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.4, 'e': 0.9902159962126371}",25,0,-99.09024287316866,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.4, 'e': 0.9887710779360422}",20,0,-47.653707528866725,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.4, 'e': 0.9872272833756269}",20,0,-63.088696882341594,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.4, 'e': 0.9855847669095608}",25,0,-122.30830240028357,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.9838436927881214}",25,0,-160.39136034884183,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.4, 'e': 0.9820042351172703}",20,0,-197.72749530704445,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
20,False,"{'a': 0.4, 'e': 0.9800665778412416}",30,0,-224.7881092081789,"{0: 12, 1: 7, 2: 8, 3: 0, 4: 3}",0
21,False,"{'a': 0.4, 'e': 0.9780309147241483}",20,0,0.40982913892272377,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.4, 'e': 0.9758974493306055}",20,0,-122.8252360384763,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
23,False,"{'a': 0.4, 'e': 0.9736663950053749}",20,0,-92.48821181592722,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
24,False,"{'a': 0.4, 'e': 0.9713379748520297}",20,3,-36.49164953935317,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
25,False,"{'a': 0.4, 'e': 0.9689124217106447}",20,0,-183.12999348986912,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
26,False,"{'a': 0.4, 'e': 0.9663899781345132}",20,0,-102.52824165575605,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.4, 'e': 0.9637708963658905}",20,0,-74.85810140597006,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.4, 'e': 0.9610554383107709}",25,10,-28.47260555306029,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
29,False,"{'a': 0.4, 'e': 0.9582438755126972}",20,0,-81.75664954304776,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.4, 'e': 0.955336489125606}",25,0,-143.31312049910554,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
31,False,"{'a': 0.4, 'e': 0.9523335698857134}",30,0,-133.37930615294903,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
32,False,"{'a': 0.4, 'e': 0.9492354180824408}",25,0,-136.3478659596091,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
33,False,"{'a': 0.4, 'e': 0.946042343528387}",20,4,-37.423786265638476,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
34,False,"{'a': 0.4, 'e': 0.9427546655283462}",20,0,-39.78155734787803,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
35,False,"{'a': 0.4, 'e': 0.9393727128473789}",20,0,-75.77669706382989,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.4, 'e': 0.9358968236779348}",30,0,-81.05999816004532,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.4, 'e': 0.9323273456060345}",20,0,-150.3334841291685,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
38,False,"{'a': 0.4, 'e': 0.9286646355765102}",20,0,-84.90557784391824,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
39,False,"{'a': 0.4, 'e': 0.9249090598573131}",25,0,-118.24265369241317,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
40,False,"{'a': 0.4, 'e': 0.9210609940028851}",30,0,-115.04940591978952,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
41,False,"{'a': 0.4, 'e': 0.9171208228166051}",30,6,-56.98078775336342,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 0}",1
42,False,"{'a': 0.4, 'e': 0.9130889403123083}",25,0,-119.44216421231336,"{0: 11, 1: 7, 2: 6, 3: 0, 4: 1}",0
43,False,"{'a': 0.4, 'e': 0.9089657496748851}",20,0,-101.65980001859108,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
44,False,"{'a': 0.4, 'e': 0.9047516632199635}",20,0,-222.5297640624374,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 5}",0
45,False,"{'a': 0.4, 'e': 0.9004471023526769}",20,0,-66.6639938856545,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.4, 'e': 0.8960524975255253}",35,25,-24.996405176910244,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.4, 'e': 0.8915682881953289}",30,0,-172.22494835774557,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
48,False,"{'a': 0.4, 'e': 0.8869949227792842}",20,0,-116.5368617235767,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
49,False,"{'a': 0.4, 'e': 0.8823328586101216}",20,0,-68.55294996250367,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.4, 'e': 0.8775825618903728}",20,0,-45.008181060945326,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
51,False,"{'a': 0.4, 'e': 0.8727445076457513}",30,0,-170.87637204588574,"{0: 16, 1: 2, 2: 10, 3: 0, 4: 2}",0
52,False,"{'a': 0.4, 'e': 0.8678191796776499}",25,9,-56.47332747120593,"{0: 11, 1: 3, 2: 0, 3: 1, 4: 1}",1
53,False,"{'a': 0.4, 'e': 0.862807070514761}",20,0,-130.06749576620768,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
54,False,"{'a': 0.4, 'e': 0.8577086813638242}",35,0,-174.42699058979252,"{0: 20, 1: 6, 2: 5, 3: 2, 4: 2}",0
55,False,"{'a': 0.4, 'e': 0.8525245220595057}",35,27,13.951470354631537,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.8472551110134161}",30,6,-117.0496304672207,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 2}",1
57,False,"{'a': 0.4, 'e': 0.8419009751622687}",25,11,-79.4066065401785,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 1}",1
58,False,"{'a': 0.4, 'e': 0.8364626499151869}",25,0,-85.84120266818253,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.4, 'e': 0.8309406791001634}",25,0,-40.14209296298574,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.4, 'e': 0.8253356149096783}",20,0,-53.680593760833965,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.4, 'e': 0.8196480178454795}",25,0,-87.38699308380873,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.4, 'e': 0.8138784566625339}",25,0,-172.73142010605122,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
63,False,"{'a': 0.4, 'e': 0.8080275083121519}",30,0,-52.913209953463074,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
