trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-165.70765668903712,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-55.577576202962504,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-178.28320631889764,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-103.84176879304007,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,12,14.667166421307098,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-66.55692241806352,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-129.11894400200336,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-100.39705991863069,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-23.08960544175108,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,5,-49.88595211807431,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-80.34265666258202,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-205.50047480507084,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-165.7771922535794,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-144.40357456081082,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-64.96146559386571,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-155.04207632029974,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-63.1052901749256,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,1,-71.09853787620443,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-75.20766417395534,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-118.37680152621091,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-190.61169889955016,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,0,-121.59622099326387,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,3,-177.6307910780617,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 4}",1
4,True,"{'a': 0, 'e': 0}",25,0,-51.98960543281088,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",35,0,-221.5154561187857,"{0: 18, 1: 5, 2: 8, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",25,0,-93.10222418495788,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-77.50575188182562,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-114.51015455345072,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",30,0,-103.09010563861133,"{0: 15, 1: 8, 2: 6, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-115.24296866469646,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
